molecule,ligand_file,docking_score,status,error
molecule_01,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_01.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_02,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_02.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_03,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_03.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_04,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_04.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_05,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_05.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_06,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_06.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_07,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_07.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_08,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_08.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_09,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_09.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_10,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_10.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_11,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_11.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_12,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_12.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_13,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_13.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_14,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_14.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_15,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_15.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_16,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_16.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_17,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_17.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_18,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_18.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_19,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_19.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_20,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_20.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_21,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_21.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_22,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_22.pdbqt,,error,[WinError 2] The system cannot find the file specified
molecule_23,C:\Users\admin\BF-final-version\Combined_EGFR_Docking_Analysis\02_Structures\PDBQT_Files\molecule_23.pdbqt,,error,[WinError 2] The system cannot find the file specified
