mol_id,status,reason
1,placeholder,OpenBabel not available
2,placeholder,OpenBabel not available
3,placeholder,OpenBabel not available
4,placeholder,OpenBabel not available
5,placeholder,OpenBabel not available
6,placeholder,OpenBabel not available
7,placeholder,OpenBabel not available
8,placeholder,OpenBabel not available
9,placeholder,OpenBabel not available
10,placeholder,OpenBabel not available
11,placeholder,OpenBabel not available
12,placeholder,OpenBabel not available
13,placeholder,OpenBabel not available
14,placeholder,OpenBabel not available
15,placeholder,OpenBabel not available
16,placeholder,OpenBabel not available
17,placeholder,OpenBabel not available
18,placeholder,OpenBabel not available
19,placeholder,OpenBabel not available
20,placeholder,OpenBabel not available
21,placeholder,OpenBabel not available
22,placeholder,OpenBabel not available
23,placeholder,OpenBabel not available
