molecule_01,-8.5
molecule_02,-8.3
molecule_03,-8.4
molecule_04,-7.3
molecule_05,-6.9
molecule_06,-7.3
molecule_07,-7.9
molecule_08,-6.3
molecule_09,-7.4
molecule_10,-7.9
molecule_11,-7.5
molecule_12,-6.3
molecule_13,-8.8
molecule_14,-7.4
molecule_15,-7.6
molecule_16,-8.1
molecule_17,-7.7
molecule_18,-7.9
molecule_19,-4.6
molecule_20,-4.7
molecule_21,-5.0
molecule_22,-6.0
molecule_23,-5.6
molecule_01,-8.5
molecule_02,-8.3
molecule_03,-8.4
molecule_04,-7.3
molecule_05,-6.8
molecule_06,-7.3
molecule_07,-7.9
molecule_08,-6.3
molecule_09,-7.4
molecule_10,-7.9
molecule_11,-7.5
molecule_12,-6.3
molecule_13,-8.7
molecule_14,-7.4
molecule_15,-7.4
molecule_16,-8.1
molecule_17,-7.7
molecule_18,-7.9
molecule_19,-4.6
molecule_20,-4.7
molecule_21,-5.0
molecule_22,-6.0
molecule_23,-5.5
